idx,item,rejection_id,swapped,type,name1,name2,preamble,no,wait,continuation1,continuation2
32,2,6,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,Nope.,Wait no.,She does not.,She did not.
33,2,7,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,Nope.,"Hey, wait a minute.",She did not.,She does not.
34,2,7,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,Nope.,"Hey, wait a minute.",She does not.,She did not.
35,2,8,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,Nope.,Hang on a minute.,She did not.,She does not.
36,2,8,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,Nope.,Hang on a minute.,She does not.,She did not.
37,3,0,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,No.,Wait no.,He did not.,He does not.
38,3,0,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,No.,Wait no.,He does not.,He did not.
39,3,1,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,No.,"Hey, wait a minute.",He did not.,He does not.
40,3,1,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,No.,"Hey, wait a minute.",He does not.,He did not.
41,3,2,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,No.,Hang on a minute.,He did not.,He does not.
42,3,2,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,No.,Hang on a minute.,He does not.,He did not.
43,3,3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,That's not true.,Wait no.,He did not.,He does not.
44,3,3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,That's not true.,Wait no.,He does not.,He did not.
45,3,4,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,That's not true.,"Hey, wait a minute.",He did not.,He does not.
46,3,4,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,That's not true.,"Hey, wait a minute.",He does not.,He did not.
47,3,5,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,That's not true.,Hang on a minute.,He did not.,He does not.
48,3,5,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,That's not true.,Hang on a minute.,He does not.,He did not.
49,3,6,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,Nope.,Wait no.,He did not.,He does not.
50,3,6,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,Nope.,Wait no.,He does not.,He did not.
51,3,7,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,Nope.,"Hey, wait a minute.",He did not.,He does not.
52,3,7,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,Nope.,"Hey, wait a minute.",He does not.,He did not.
53,3,8,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,Nope.,Hang on a minute.,He did not.,He does not.
54,3,8,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,Nope.,Hang on a minute.,He does not.,He did not.
55,4,0,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,No.,Wait no.,She did not.,She does not.
56,4,0,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,No.,Wait no.,She does not.,She did not.
57,4,1,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,No.,"Hey, wait a minute.",She did not.,She does not.
58,4,1,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,No.,"Hey, wait a minute.",She does not.,She did not.
59,4,2,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,No.,Hang on a minute.,She did not.,She does not.
60,4,2,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,No.,Hang on a minute.,She does not.,She did not.
61,4,3,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,That's not true.,Wait no.,She did not.,She does not.
62,4,3,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,That's not true.,Wait no.,She does not.,She did not.
63,4,4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,That's not true.,"Hey, wait a minute.",She did not.,She does not.
64,4,4,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,That's not true.,"Hey, wait a minute.",She does not.,She did not.
65,4,5,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,That's not true.,Hang on a minute.,She did not.,She does not.
66,4,5,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,That's not true.,Hang on a minute.,She does not.,She did not.
67,4,6,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,Nope.,Wait no.,She did not.,She does not.
68,4,6,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,Nope.,Wait no.,She does not.,She did not.
69,4,7,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,Nope.,"Hey, wait a minute.",She did not.,She does not.
70,4,7,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,Nope.,"Hey, wait a minute.",She does not.,She did not.
71,4,8,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,Nope.,Hang on a minute.,She did not.,She does not.
72,4,8,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,Nope.,Hang on a minute.,She does not.,She did not.
73,5,0,False,coord,Alexander,Anthony,The professor missed a train this morning and drinks two bottles of wine every day.,No.,Wait no.,She did not.,She does not.
74,5,0,True,coord,Alexander,Anthony,The professor drinks two bottles of wine every day and missed a train this morning.,No.,Wait no.,She does not.,She did not.
75,5,1,False,coord,Alexander,Anthony,The professor missed a train this morning and drinks two bottles of wine every day.,No.,"Hey, wait a minute.",She did not.,She does not.
76,5,1,True,coord,Alexander,Anthony,The professor drinks two bottles of wine every day and missed a train this morning.,No.,"Hey, wait a minute.",She does not.,She did not.
77,5,2,False,coord,Alexander,Anthony,The professor missed a train this morning and drinks two bottles of wine every day.,No.,Hang on a minute.,She did not.,She does not.
78,5,2,True,coord,Alexander,Anthony,The professor drinks two bottles of wine every day and missed a train this morning.,No.,Hang on a minute.,She does not.,She did not.
79,5,3,False,coord,Alexander,Anthony,The professor missed a train this morning and drinks two bottles of wine every day.,That's not true.,Wait no.,She did not.,She does not.
80,5,3,True,coord,Alexander,Anthony,The professor drinks two bottles of wine every day and missed a train this morning.,That's not true.,Wait no.,She does not.,She did not.
81,5,4,False,coord,Alexander,Anthony,The professor missed a train this morning and drinks two bottles of wine every day.,That's not true.,"Hey, wait a minute.",She did not.,She does not.
82,5,4,True,coord,Alexander,Anthony,The professor drinks two bottles of wine every day and missed a train this morning.,That's not true.,"Hey, wait a minute.",She does not.,She did not.
83,5,5,False,coord,Alexander,Anthony,The professor missed a train this morning and drinks two bottles of wine every day.,That's not true.,Hang on a minute.,She did not.,She does not.
84,5,5,True,coord,Alexander,Anthony,The professor drinks two bottles of wine every day and missed a train this morning.,That's not true.,Hang on a minute.,She does not.,She did not.
85,5,6,False,coord,Alexander,Anthony,The professor missed a train this morning and drinks two bottles of wine every day.,Nope.,Wait no.,She did not.,She does not.
86,5,6,True,coord,Alexander,Anthony,The professor drinks two bottles of wine every day and missed a train this morning.,Nope.,Wait no.,She does not.,She did not.
87,5,7,False,coord,Alexander,Anthony,The professor missed a train this morning and drinks two bottles of wine every day.,Nope.,"Hey, wait a minute.",She did not.,She does not.
88,5,7,True,coord,Alexander,Anthony,The professor drinks two bottles of wine every day and missed a train this morning.,Nope.,"Hey, wait a minute.",She does not.,She did not.
89,5,8,False,coord,Alexander,Anthony,The professor missed a train this morning and drinks two bottles of wine every day.,Nope.,Hang on a minute.,She did not.,She does not.
90,5,8,True,coord,Alexander,Anthony,The professor drinks two bottles of wine every day and missed a train this morning.,Nope.,Hang on a minute.,She does not.,She did not.
91,6,0,False,coord,Gage,Lillian,The plumber used to dream to become a translator and usually drives three hours a day.,No.,Wait no.,She did not.,She does not.
92,6,0,True,coord,Gage,Lillian,The plumber usually drives three hours a day and used to dream to become a translator.,No.,Wait no.,She does not.,She did not.
93,6,1,False,coord,Gage,Lillian,The plumber used to dream to become a translator and usually drives three hours a day.,No.,"Hey, wait a minute.",She did not.,She does not.
94,6,1,True,coord,Gage,Lillian,The plumber usually drives three hours a day and used to dream to become a translator.,No.,"Hey, wait a minute.",She does not.,She did not.
95,6,2,False,coord,Gage,Lillian,The plumber used to dream to become a translator and usually drives three hours a day.,No.,Hang on a minute.,She did not.,She does not.
96,6,2,True,coord,Gage,Lillian,The plumber usually drives three hours a day and used to dream to become a translator.,No.,Hang on a minute.,She does not.,She did not.
97,6,3,False,coord,Gage,Lillian,The plumber used to dream to become a translator and usually drives three hours a day.,That's not true.,Wait no.,She did not.,She does not.
98,6,3,True,coord,Gage,Lillian,The plumber usually drives three hours a day and used to dream to become a translator.,That's not true.,Wait no.,She does not.,She did not.
99,6,4,False,coord,Gage,Lillian,The plumber used to dream to become a translator and usually drives three hours a day.,That's not true.,"Hey, wait a minute.",She did not.,She does not.
100,6,4,True,coord,Gage,Lillian,The plumber usually drives three hours a day and used to dream to become a translator.,That's not true.,"Hey, wait a minute.",She does not.,She did not.
101,6,5,False,coord,Gage,Lillian,The plumber used to dream to become a translator and usually drives three hours a day.,That's not true.,Hang on a minute.,She did not.,She does not.
102,6,5,True,coord,Gage,Lillian,The plumber usually drives three hours a day and used to dream to become a translator.,That's not true.,Hang on a minute.,She does not.,She did not.
103,6,6,False,coord,Gage,Lillian,The plumber used to dream to become a translator and usually drives three hours a day.,Nope.,Wait no.,She did not.,She does not.
104,6,6,True,coord,Gage,Lillian,The plumber usually drives three hours a day and used to dream to become a translator.,Nope.,Wait no.,She does not.,She did not.
105,6,7,False,coord,Gage,Lillian,The plumber used to dream to become a translator and usually drives three hours a day.,Nope.,"Hey, wait a minute.",She did not.,She does not.
106,6,7,True,coord,Gage,Lillian,The plumber usually drives three hours a day and used to dream to become a translator.,Nope.,"Hey, wait a minute.",She does not.,She did not.
107,6,8,False,coord,Gage,Lillian,The plumber used to dream to become a translator and usually drives three hours a day.,Nope.,Hang on a minute.,She did not.,She does not.
108,6,8,True,coord,Gage,Lillian,The plumber usually drives three hours a day and used to dream to become a translator.,Nope.,Hang on a minute.,She does not.,She did not.
109,7,0,False,coord,Sebastian,Francisco,The reporter committed a felony and has a neat handwriting.,No.,Wait no.,She did not.,She does not.
110,7,0,True,coord,Sebastian,Francisco,The reporter has a neat handwriting and committed a felony.,No.,Wait no.,She does not.,She did not.
111,7,1,False,coord,Sebastian,Francisco,The reporter committed a felony and has a neat handwriting.,No.,"Hey, wait a minute.",She did not.,She does not.
112,7,1,True,coord,Sebastian,Francisco,The reporter has a neat handwriting and committed a felony.,No.,"Hey, wait a minute.",She does not.,She did not.
113,7,2,False,coord,Sebastian,Francisco,The reporter committed a felony and has a neat handwriting.,No.,Hang on a minute.,She did not.,She does not.
114,7,2,True,coord,Sebastian,Francisco,The reporter has a neat handwriting and committed a felony.,No.,Hang on a minute.,She does not.,She did not.
115,7,3,False,coord,Sebastian,Francisco,The reporter committed a felony and has a neat handwriting.,That's not true.,Wait no.,She did not.,She does not.
116,7,3,True,coord,Sebastian,Francisco,The reporter has a neat handwriting and committed a felony.,That's not true.,Wait no.,She does not.,She did not.
117,7,4,False,coord,Sebastian,Francisco,The reporter committed a felony and has a neat handwriting.,That's not true.,"Hey, wait a minute.",She did not.,She does not.
118,7,4,True,coord,Sebastian,Francisco,The reporter has a neat handwriting and committed a felony.,That's not true.,"Hey, wait a minute.",She does not.,She did not.
119,7,5,False,coord,Sebastian,Francisco,The reporter committed a felony and has a neat handwriting.,That's not true.,Hang on a minute.,She did not.,She does not.
120,7,5,True,coord,Sebastian,Francisco,The reporter has a neat handwriting and committed a felony.,That's not true.,Hang on a minute.,She does not.,She did not.
121,7,6,False,coord,Sebastian,Francisco,The reporter committed a felony and has a neat handwriting.,Nope.,Wait no.,She did not.,She does not.
122,7,6,True,coord,Sebastian,Francisco,The reporter has a neat handwriting and committed a felony.,Nope.,Wait no.,She does not.,She did not.
123,7,7,False,coord,Sebastian,Francisco,The reporter committed a felony and has a neat handwriting.,Nope.,"Hey, wait a minute.",She did not.,She does not.
124,7,7,True,coord,Sebastian,Francisco,The reporter has a neat handwriting and committed a felony.,Nope.,"Hey, wait a minute.",She does not.,She did not.
125,7,8,False,coord,Sebastian,Francisco,The reporter committed a felony and has a neat handwriting.,Nope.,Hang on a minute.,She did not.,She does not.
126,7,8,True,coord,Sebastian,Francisco,The reporter has a neat handwriting and committed a felony.,Nope.,Hang on a minute.,She does not.,She did not.
127,8,0,False,coord,Abigail,Alondra,The pharmacist walked toward the stray dog and has lots of Korean friends.,No.,Wait no.,She did not.,She does not.
128,8,0,True,coord,Abigail,Alondra,The pharmacist has lots of Korean friends and walked toward the stray dog.,No.,Wait no.,She does not.,She did not.
129,8,1,False,coord,Abigail,Alondra,The pharmacist walked toward the stray dog and has lots of Korean friends.,No.,"Hey, wait a minute.",She did not.,She does not.
130,8,1,True,coord,Abigail,Alondra,The pharmacist has lots of Korean friends and walked toward the stray dog.,No.,"Hey, wait a minute.",She does not.,She did not.
131,8,2,False,coord,Abigail,Alondra,The pharmacist walked toward the stray dog and has lots of Korean friends.,No.,Hang on a minute.,She did not.,She does not.
132,8,2,True,coord,Abigail,Alondra,The pharmacist has lots of Korean friends and walked toward the stray dog.,No.,Hang on a minute.,She does not.,She did not.
133,8,3,False,coord,Abigail,Alondra,The pharmacist walked toward the stray dog and has lots of Korean friends.,That's not true.,Wait no.,She did not.,She does not.
134,8,3,True,coord,Abigail,Alondra,The pharmacist has lots of Korean friends and walked toward the stray dog.,That's not true.,Wait no.,She does not.,She did not.
135,8,4,False,coord,Abigail,Alondra,The pharmacist walked toward the stray dog and has lots of Korean friends.,That's not true.,"Hey, wait a minute.",She did not.,She does not.
136,8,4,True,coord,Abigail,Alondra,The pharmacist has lots of Korean friends and walked toward the stray dog.,That's not true.,"Hey, wait a minute.",She does not.,She did not.
137,8,5,False,coord,Abigail,Alondra,The pharmacist walked toward the stray dog and has lots of Korean friends.,That's not true.,Hang on a minute.,She did not.,She does not.
138,8,5,True,coord,Abigail,Alondra,The pharmacist has lots of Korean friends and walked toward the stray dog.,That's not true.,Hang on a minute.,She does not.,She did not.
139,8,6,False,coord,Abigail,Alondra,The pharmacist walked toward the stray dog and has lots of Korean friends.,Nope.,Wait no.,She did not.,She does not.
140,8,6,True,coord,Abigail,Alondra,The pharmacist has lots of Korean friends and walked toward the stray dog.,Nope.,Wait no.,She does not.,She did not.
141,8,7,False,coord,Abigail,Alondra,The pharmacist walked toward the stray dog and has lots of Korean friends.,Nope.,"Hey, wait a minute.",She did not.,She does not.
142,8,7,True,coord,Abigail,Alondra,The pharmacist has lots of Korean friends and walked toward the stray dog.,Nope.,"Hey, wait a minute.",She does not.,She did not.
143,8,8,False,coord,Abigail,Alondra,The pharmacist walked toward the stray dog and has lots of Korean friends.,Nope.,Hang on a minute.,She did not.,She does not.
144,8,8,True,coord,Abigail,Alondra,The pharmacist has lots of Korean friends and walked toward the stray dog.,Nope.,Hang on a minute.,She does not.,She did not.
145,9,0,False,coord,Owen,John,The sculptor had a bad dream and has a pianist friend.,No.,Wait no.,He did not.,He does not.
146,9,0,True,coord,Owen,John,The sculptor has a pianist friend and had a bad dream.,No.,Wait no.,He does not.,He did not.
147,9,1,False,coord,Owen,John,The sculptor had a bad dream and has a pianist friend.,No.,"Hey, wait a minute.",He did not.,He does not.
148,9,1,True,coord,Owen,John,The sculptor has a pianist friend and had a bad dream.,No.,"Hey, wait a minute.",He does not.,He did not.
149,9,2,False,coord,Owen,John,The sculptor had a bad dream and has a pianist friend.,No.,Hang on a minute.,He did not.,He does not.
150,9,2,True,coord,Owen,John,The sculptor has a pianist friend and had a bad dream.,No.,Hang on a minute.,He does not.,He did not.
151,9,3,False,coord,Owen,John,The sculptor had a bad dream and has a pianist friend.,That's not true.,Wait no.,He did not.,He does not.
152,9,3,True,coord,Owen,John,The sculptor has a pianist friend and had a bad dream.,That's not true.,Wait no.,He does not.,He did not.
153,9,4,False,coord,Owen,John,The sculptor had a bad dream and has a pianist friend.,That's not true.,"Hey, wait a minute.",He did not.,He does not.
154,9,4,True,coord,Owen,John,The sculptor has a pianist friend and had a bad dream.,That's not true.,"Hey, wait a minute.",He does not.,He did not.
155,9,5,False,coord,Owen,John,The sculptor had a bad dream and has a pianist friend.,That's not true.,Hang on a minute.,He did not.,He does not.
156,9,5,True,coord,Owen,John,The sculptor has a pianist friend and had a bad dream.,That's not true.,Hang on a minute.,He does not.,He did not.
157,9,6,False,coord,Owen,John,The sculptor had a bad dream and has a pianist friend.,Nope.,Wait no.,He did not.,He does not.
158,9,6,True,coord,Owen,John,The sculptor has a pianist friend and had a bad dream.,Nope.,Wait no.,He does not.,He did not.
159,9,7,False,coord,Owen,John,The sculptor had a bad dream and has a pianist friend.,Nope.,"Hey, wait a minute.",He did not.,He does not.
160,9,7,True,coord,Owen,John,The sculptor has a pianist friend and had a bad dream.,Nope.,"Hey, wait a minute.",He does not.,He did not.
161,9,8,False,coord,Owen,John,The sculptor had a bad dream and has a pianist friend.,Nope.,Hang on a minute.,He did not.,He does not.
162,9,8,True,coord,Owen,John,The sculptor has a pianist friend and had a bad dream.,Nope.,Hang on a minute.,He does not.,He did not.
163,10,0,False,coord,Cesar,Christina,The nurse met the Illinois governor at a Greek restaurant and looks confident.,No.,Wait no.,He did not.,He does not.
164,10,0,True,coord,Cesar,Christina,The nurse looks confident and met the Illinois governor at a Greek restaurant.,No.,Wait no.,He does not.,He did not.
165,10,1,False,coord,Cesar,Christina,The nurse met the Illinois governor at a Greek restaurant and looks confident.,No.,"Hey, wait a minute.",He did not.,He does not.
166,10,1,True,coord,Cesar,Christina,The nurse looks confident and met the Illinois governor at a Greek restaurant.,No.,"Hey, wait a minute.",He does not.,He did not.
167,10,2,False,coord,Cesar,Christina,The nurse met the Illinois governor at a Greek restaurant and looks confident.,No.,Hang on a minute.,He did not.,He does not.
168,10,2,True,coord,Cesar,Christina,The nurse looks confident and met the Illinois governor at a Greek restaurant.,No.,Hang on a minute.,He does not.,He did not.
169,10,3,False,coord,Cesar,Christina,The nurse met the Illinois governor at a Greek restaurant and looks confident.,That's not true.,Wait no.,He did not.,He does not.
170,10,3,True,coord,Cesar,Christina,The nurse looks confident and met the Illinois governor at a Greek restaurant.,That's not true.,Wait no.,He does not.,He did not.
171,10,4,False,coord,Cesar,Christina,The nurse met the Illinois governor at a Greek restaurant and looks confident.,That's not true.,"Hey, wait a minute.",He did not.,He does not.
172,10,4,True,coord,Cesar,Christina,The nurse looks confident and met the Illinois governor at a Greek restaurant.,That's not true.,"Hey, wait a minute.",He does not.,He did not.
173,10,5,False,coord,Cesar,Christina,The nurse met the Illinois governor at a Greek restaurant and looks confident.,That's not true.,Hang on a minute.,He did not.,He does not.
174,10,5,True,coord,Cesar,Christina,The nurse looks confident and met the Illinois governor at a Greek restaurant.,That's not true.,Hang on a minute.,He does not.,He did not.
175,10,6,False,coord,Cesar,Christina,The nurse met the Illinois governor at a Greek restaurant and looks confident.,Nope.,Wait no.,He did not.,He does not.
176,10,6,True,coord,Cesar,Christina,The nurse looks confident and met the Illinois governor at a Greek restaurant.,Nope.,Wait no.,He does not.,He did not.
177,10,7,False,coord,Cesar,Christina,The nurse met the Illinois governor at a Greek restaurant and looks confident.,Nope.,"Hey, wait a minute.",He did not.,He does not.
178,10,7,True,coord,Cesar,Christina,The nurse looks confident and met the Illinois governor at a Greek restaurant.,Nope.,"Hey, wait a minute.",He does not.,He did not.
179,10,8,False,coord,Cesar,Christina,The nurse met the Illinois governor at a Greek restaurant and looks confident.,Nope.,Hang on a minute.,He did not.,He does not.
180,10,8,True,coord,Cesar,Christina,The nurse looks confident and met the Illinois governor at a Greek restaurant.,Nope.,Hang on a minute.,He does not.,He did not.
181,11,0,False,coord,Christina,Roberto,The firefighter painted the house on Thanksgiving and has been keeping a diary for 15 years.,No.,Wait no.,She did not.,She has not.
182,11,0,True,coord,Christina,Roberto,The firefighter has been keeping a diary for 15 years and painted the house on Thanksgiving.,No.,Wait no.,She has not.,She did not.
183,11,1,False,coord,Christina,Roberto,The firefighter painted the house on Thanksgiving and has been keeping a diary for 15 years.,No.,"Hey, wait a minute.",She did not.,She has not.
184,11,1,True,coord,Christina,Roberto,The firefighter has been keeping a diary for 15 years and painted the house on Thanksgiving.,No.,"Hey, wait a minute.",She has not.,She did not.
185,11,2,False,coord,Christina,Roberto,The firefighter painted the house on Thanksgiving and has been keeping a diary for 15 years.,No.,Hang on a minute.,She did not.,She has not.
186,11,2,True,coord,Christina,Roberto,The firefighter has been keeping a diary for 15 years and painted the house on Thanksgiving.,No.,Hang on a minute.,She has not.,She did not.
187,11,3,False,coord,Christina,Roberto,The firefighter painted the house on Thanksgiving and has been keeping a diary for 15 years.,That's not true.,Wait no.,She did not.,She has not.
188,11,3,True,coord,Christina,Roberto,The firefighter has been keeping a diary for 15 years and painted the house on Thanksgiving.,That's not true.,Wait no.,She has not.,She did not.
189,11,4,False,coord,Christina,Roberto,The firefighter painted the house on Thanksgiving and has been keeping a diary for 15 years.,That's not true.,"Hey, wait a minute.",She did not.,She has not.
190,11,4,True,coord,Christina,Roberto,The firefighter has been keeping a diary for 15 years and painted the house on Thanksgiving.,That's not true.,"Hey, wait a minute.",She has not.,She did not.
191,11,5,False,coord,Christina,Roberto,The firefighter painted the house on Thanksgiving and has been keeping a diary for 15 years.,That's not true.,Hang on a minute.,She did not.,She has not.
192,11,5,True,coord,Christina,Roberto,The firefighter has been keeping a diary for 15 years and painted the house on Thanksgiving.,That's not true.,Hang on a minute.,She has not.,She did not.
193,11,6,False,coord,Christina,Roberto,The firefighter painted the house on Thanksgiving and has been keeping a diary for 15 years.,Nope.,Wait no.,She did not.,She has not.
194,11,6,True,coord,Christina,Roberto,The firefighter has been keeping a diary for 15 years and painted the house on Thanksgiving.,Nope.,Wait no.,She has not.,She did not.
195,11,7,False,coord,Christina,Roberto,The firefighter painted the house on Thanksgiving and has been keeping a diary for 15 years.,Nope.,"Hey, wait a minute.",She did not.,She has not.
196,11,7,True,coord,Christina,Roberto,The firefighter has been keeping a diary for 15 years and painted the house on Thanksgiving.,Nope.,"Hey, wait a minute.",She has not.,She did not.
197,11,8,False,coord,Christina,Roberto,The firefighter painted the house on Thanksgiving and has been keeping a diary for 15 years.,Nope.,Hang on a minute.,She did not.,She has not.
198,11,8,True,coord,Christina,Roberto,The firefighter has been keeping a diary for 15 years and painted the house on Thanksgiving.,Nope.,Hang on a minute.,She has not.,She did not.
199,12,0,False,coord,Veronica,Harrison,The researcher performed a piece by Mozart and has undergone chemotherapy.,No.,Wait no.,He did not.,He has not.
