idx,item,sentence,prefix,stimulus,type
9,4,"Alexander said, ""The professor, who drinks two bottles of wine every day, missed a train this morning."" Anthony replied, ""Wait no, she does not.""","Alexander said, ""The professor, who drinks two bottles of wine every day, missed a train this morning."" Anthony replied, ""Wait no,","she does not.""",neg_arc_good
9,4,"Alexander said, ""The professor, who drinks two bottles of wine every day, missed a train this morning."" Anthony replied, ""No, she does not.""","Alexander said, ""The professor, who drinks two bottles of wine every day, missed a train this morning."" Anthony replied, ""No,","she does not.""",neg_arc_bad
10,5,"Gage said, ""The plumber, who used to dream to become a translator, usually drives three hours a day."" Lillian replied, ""No, she does not.""","Gage said, ""The plumber, who used to dream to become a translator, usually drives three hours a day."" Lillian replied, ""No,","she does not.""",neg_main_good
10,5,"Gage said, ""The plumber, who used to dream to become a translator, usually drives three hours a day."" Lillian replied, ""Wait no, she does not.""","Gage said, ""The plumber, who used to dream to become a translator, usually drives three hours a day."" Lillian replied, ""Wait no,","she does not.""",neg_main_bad
10,5,"Gage said, ""The plumber, who used to dream to become a translator, usually drives three hours a day."" Lillian replied, ""Wait no, she did not.""","Gage said, ""The plumber, who used to dream to become a translator, usually drives three hours a day."" Lillian replied, ""Wait no,","she did not.""",neg_arc_good
10,5,"Gage said, ""The plumber, who used to dream to become a translator, usually drives three hours a day."" Lillian replied, ""No, she did not.""","Gage said, ""The plumber, who used to dream to become a translator, usually drives three hours a day."" Lillian replied, ""No,","she did not.""",neg_arc_bad
11,5,"Gage said, ""The plumber, who usually drives three hours a day, used to dream to become a translator."" Lillian replied, ""No, she did not.""","Gage said, ""The plumber, who usually drives three hours a day, used to dream to become a translator."" Lillian replied, ""No,","she did not.""",neg_main_good
11,5,"Gage said, ""The plumber, who usually drives three hours a day, used to dream to become a translator."" Lillian replied, ""Wait no, she did not.""","Gage said, ""The plumber, who usually drives three hours a day, used to dream to become a translator."" Lillian replied, ""Wait no,","she did not.""",neg_main_bad
11,5,"Gage said, ""The plumber, who usually drives three hours a day, used to dream to become a translator."" Lillian replied, ""Wait no, she does not.""","Gage said, ""The plumber, who usually drives three hours a day, used to dream to become a translator."" Lillian replied, ""Wait no,","she does not.""",neg_arc_good
11,5,"Gage said, ""The plumber, who usually drives three hours a day, used to dream to become a translator."" Lillian replied, ""No, she does not.""","Gage said, ""The plumber, who usually drives three hours a day, used to dream to become a translator."" Lillian replied, ""No,","she does not.""",neg_arc_bad
12,6,"Sebastian said, ""The reporter, who committed a felony, has a neat handwriting."" Francisco replied, ""No, she does not.""","Sebastian said, ""The reporter, who committed a felony, has a neat handwriting."" Francisco replied, ""No,","she does not.""",neg_main_good
12,6,"Sebastian said, ""The reporter, who committed a felony, has a neat handwriting."" Francisco replied, ""Wait no, she does not.""","Sebastian said, ""The reporter, who committed a felony, has a neat handwriting."" Francisco replied, ""Wait no,","she does not.""",neg_main_bad
12,6,"Sebastian said, ""The reporter, who committed a felony, has a neat handwriting."" Francisco replied, ""Wait no, she did not.""","Sebastian said, ""The reporter, who committed a felony, has a neat handwriting."" Francisco replied, ""Wait no,","she did not.""",neg_arc_good
12,6,"Sebastian said, ""The reporter, who committed a felony, has a neat handwriting."" Francisco replied, ""No, she did not.""","Sebastian said, ""The reporter, who committed a felony, has a neat handwriting."" Francisco replied, ""No,","she did not.""",neg_arc_bad
13,6,"Sebastian said, ""The reporter, who has a neat handwriting, committed a felony."" Francisco replied, ""No, she did not.""","Sebastian said, ""The reporter, who has a neat handwriting, committed a felony."" Francisco replied, ""No,","she did not.""",neg_main_good
13,6,"Sebastian said, ""The reporter, who has a neat handwriting, committed a felony."" Francisco replied, ""Wait no, she did not.""","Sebastian said, ""The reporter, who has a neat handwriting, committed a felony."" Francisco replied, ""Wait no,","she did not.""",neg_main_bad
13,6,"Sebastian said, ""The reporter, who has a neat handwriting, committed a felony."" Francisco replied, ""Wait no, she does not.""","Sebastian said, ""The reporter, who has a neat handwriting, committed a felony."" Francisco replied, ""Wait no,","she does not.""",neg_arc_good
13,6,"Sebastian said, ""The reporter, who has a neat handwriting, committed a felony."" Francisco replied, ""No, she does not.""","Sebastian said, ""The reporter, who has a neat handwriting, committed a felony."" Francisco replied, ""No,","she does not.""",neg_arc_bad
14,7,"Abigail said, ""The pharmacist, who walked toward the stray dog, has lots of Korean friends."" Alondra replied, ""No, she does not.""","Abigail said, ""The pharmacist, who walked toward the stray dog, has lots of Korean friends."" Alondra replied, ""No,","she does not.""",neg_main_good
14,7,"Abigail said, ""The pharmacist, who walked toward the stray dog, has lots of Korean friends."" Alondra replied, ""Wait no, she does not.""","Abigail said, ""The pharmacist, who walked toward the stray dog, has lots of Korean friends."" Alondra replied, ""Wait no,","she does not.""",neg_main_bad
14,7,"Abigail said, ""The pharmacist, who walked toward the stray dog, has lots of Korean friends."" Alondra replied, ""Wait no, she did not.""","Abigail said, ""The pharmacist, who walked toward the stray dog, has lots of Korean friends."" Alondra replied, ""Wait no,","she did not.""",neg_arc_good
14,7,"Abigail said, ""The pharmacist, who walked toward the stray dog, has lots of Korean friends."" Alondra replied, ""No, she did not.""","Abigail said, ""The pharmacist, who walked toward the stray dog, has lots of Korean friends."" Alondra replied, ""No,","she did not.""",neg_arc_bad
15,7,"Abigail said, ""The pharmacist, who has lots of Korean friends, walked toward the stray dog."" Alondra replied, ""No, she did not.""","Abigail said, ""The pharmacist, who has lots of Korean friends, walked toward the stray dog."" Alondra replied, ""No,","she did not.""",neg_main_good
15,7,"Abigail said, ""The pharmacist, who has lots of Korean friends, walked toward the stray dog."" Alondra replied, ""Wait no, she did not.""","Abigail said, ""The pharmacist, who has lots of Korean friends, walked toward the stray dog."" Alondra replied, ""Wait no,","she did not.""",neg_main_bad
15,7,"Abigail said, ""The pharmacist, who has lots of Korean friends, walked toward the stray dog."" Alondra replied, ""Wait no, she does not.""","Abigail said, ""The pharmacist, who has lots of Korean friends, walked toward the stray dog."" Alondra replied, ""Wait no,","she does not.""",neg_arc_good
15,7,"Abigail said, ""The pharmacist, who has lots of Korean friends, walked toward the stray dog."" Alondra replied, ""No, she does not.""","Abigail said, ""The pharmacist, who has lots of Korean friends, walked toward the stray dog."" Alondra replied, ""No,","she does not.""",neg_arc_bad
16,8,"Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""No, he does not.""","Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""No,","he does not.""",neg_main_good
16,8,"Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""Wait no, he does not.""","Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""Wait no,","he does not.""",neg_main_bad
16,8,"Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""Wait no, he did not.""","Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""Wait no,","he did not.""",neg_arc_good
16,8,"Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""No, he did not.""","Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""No,","he did not.""",neg_arc_bad
17,8,"Owen said, ""The sculptor, who has a pianist friend, had a bad dream."" John replied, ""No, he did not.""","Owen said, ""The sculptor, who has a pianist friend, had a bad dream."" John replied, ""No,","he did not.""",neg_main_good
17,8,"Owen said, ""The sculptor, who has a pianist friend, had a bad dream."" John replied, ""Wait no, he did not.""","Owen said, ""The sculptor, who has a pianist friend, had a bad dream."" John replied, ""Wait no,","he did not.""",neg_main_bad
17,8,"Owen said, ""The sculptor, who has a pianist friend, had a bad dream."" John replied, ""Wait no, he does not.""","Owen said, ""The sculptor, who has a pianist friend, had a bad dream."" John replied, ""Wait no,","he does not.""",neg_arc_good
17,8,"Owen said, ""The sculptor, who has a pianist friend, had a bad dream."" John replied, ""No, he does not.""","Owen said, ""The sculptor, who has a pianist friend, had a bad dream."" John replied, ""No,","he does not.""",neg_arc_bad
18,9,"Cesar said, ""The nurse, who met the Illinois governor at a Greek restaurant, looks confident."" Christina replied, ""No, he does not.""","Cesar said, ""The nurse, who met the Illinois governor at a Greek restaurant, looks confident."" Christina replied, ""No,","he does not.""",neg_main_good
18,9,"Cesar said, ""The nurse, who met the Illinois governor at a Greek restaurant, looks confident."" Christina replied, ""Wait no, he does not.""","Cesar said, ""The nurse, who met the Illinois governor at a Greek restaurant, looks confident."" Christina replied, ""Wait no,","he does not.""",neg_main_bad
18,9,"Cesar said, ""The nurse, who met the Illinois governor at a Greek restaurant, looks confident."" Christina replied, ""Wait no, he did not.""","Cesar said, ""The nurse, who met the Illinois governor at a Greek restaurant, looks confident."" Christina replied, ""Wait no,","he did not.""",neg_arc_good
18,9,"Cesar said, ""The nurse, who met the Illinois governor at a Greek restaurant, looks confident."" Christina replied, ""No, he did not.""","Cesar said, ""The nurse, who met the Illinois governor at a Greek restaurant, looks confident."" Christina replied, ""No,","he did not.""",neg_arc_bad
19,9,"Cesar said, ""The nurse, who looks confident, met the Illinois governor at a Greek restaurant."" Christina replied, ""No, he did not.""","Cesar said, ""The nurse, who looks confident, met the Illinois governor at a Greek restaurant."" Christina replied, ""No,","he did not.""",neg_main_good
19,9,"Cesar said, ""The nurse, who looks confident, met the Illinois governor at a Greek restaurant."" Christina replied, ""Wait no, he did not.""","Cesar said, ""The nurse, who looks confident, met the Illinois governor at a Greek restaurant."" Christina replied, ""Wait no,","he did not.""",neg_main_bad
19,9,"Cesar said, ""The nurse, who looks confident, met the Illinois governor at a Greek restaurant."" Christina replied, ""Wait no, he does not.""","Cesar said, ""The nurse, who looks confident, met the Illinois governor at a Greek restaurant."" Christina replied, ""Wait no,","he does not.""",neg_arc_good
19,9,"Cesar said, ""The nurse, who looks confident, met the Illinois governor at a Greek restaurant."" Christina replied, ""No, he does not.""","Cesar said, ""The nurse, who looks confident, met the Illinois governor at a Greek restaurant."" Christina replied, ""No,","he does not.""",neg_arc_bad
20,10,"Christina said, ""The firefighter, who painted the house on Thanksgiving, has been keeping a diary for 15 years."" Roberto replied, ""No, she has not.""","Christina said, ""The firefighter, who painted the house on Thanksgiving, has been keeping a diary for 15 years."" Roberto replied, ""No,","she has not.""",neg_main_good
20,10,"Christina said, ""The firefighter, who painted the house on Thanksgiving, has been keeping a diary for 15 years."" Roberto replied, ""Wait no, she has not.""","Christina said, ""The firefighter, who painted the house on Thanksgiving, has been keeping a diary for 15 years."" Roberto replied, ""Wait no,","she has not.""",neg_main_bad
20,10,"Christina said, ""The firefighter, who painted the house on Thanksgiving, has been keeping a diary for 15 years."" Roberto replied, ""Wait no, she did not.""","Christina said, ""The firefighter, who painted the house on Thanksgiving, has been keeping a diary for 15 years."" Roberto replied, ""Wait no,","she did not.""",neg_arc_good
20,10,"Christina said, ""The firefighter, who painted the house on Thanksgiving, has been keeping a diary for 15 years."" Roberto replied, ""No, she did not.""","Christina said, ""The firefighter, who painted the house on Thanksgiving, has been keeping a diary for 15 years."" Roberto replied, ""No,","she did not.""",neg_arc_bad
21,10,"Christina said, ""The firefighter, who has been keeping a diary for 15 years, painted the house on Thanksgiving."" Roberto replied, ""No, she did not.""","Christina said, ""The firefighter, who has been keeping a diary for 15 years, painted the house on Thanksgiving."" Roberto replied, ""No,","she did not.""",neg_main_good
21,10,"Christina said, ""The firefighter, who has been keeping a diary for 15 years, painted the house on Thanksgiving."" Roberto replied, ""Wait no, she did not.""","Christina said, ""The firefighter, who has been keeping a diary for 15 years, painted the house on Thanksgiving."" Roberto replied, ""Wait no,","she did not.""",neg_main_bad
21,10,"Christina said, ""The firefighter, who has been keeping a diary for 15 years, painted the house on Thanksgiving."" Roberto replied, ""Wait no, she has not.""","Christina said, ""The firefighter, who has been keeping a diary for 15 years, painted the house on Thanksgiving."" Roberto replied, ""Wait no,","she has not.""",neg_arc_good
21,10,"Christina said, ""The firefighter, who has been keeping a diary for 15 years, painted the house on Thanksgiving."" Roberto replied, ""No, she has not.""","Christina said, ""The firefighter, who has been keeping a diary for 15 years, painted the house on Thanksgiving."" Roberto replied, ""No,","she has not.""",neg_arc_bad
22,11,"Veronica said, ""The researcher, who performed a piece by Mozart, has undergone chemotherapy."" Harrison replied, ""No, he has not.""","Veronica said, ""The researcher, who performed a piece by Mozart, has undergone chemotherapy."" Harrison replied, ""No,","he has not.""",neg_main_good
22,11,"Veronica said, ""The researcher, who performed a piece by Mozart, has undergone chemotherapy."" Harrison replied, ""Wait no, he has not.""","Veronica said, ""The researcher, who performed a piece by Mozart, has undergone chemotherapy."" Harrison replied, ""Wait no,","he has not.""",neg_main_bad
22,11,"Veronica said, ""The researcher, who performed a piece by Mozart, has undergone chemotherapy."" Harrison replied, ""Wait no, he did not.""","Veronica said, ""The researcher, who performed a piece by Mozart, has undergone chemotherapy."" Harrison replied, ""Wait no,","he did not.""",neg_arc_good
22,11,"Veronica said, ""The researcher, who performed a piece by Mozart, has undergone chemotherapy."" Harrison replied, ""No, he did not.""","Veronica said, ""The researcher, who performed a piece by Mozart, has undergone chemotherapy."" Harrison replied, ""No,","he did not.""",neg_arc_bad
23,11,"Veronica said, ""The researcher, who has undergone chemotherapy, performed a piece by Mozart."" Harrison replied, ""No, he did not.""","Veronica said, ""The researcher, who has undergone chemotherapy, performed a piece by Mozart."" Harrison replied, ""No,","he did not.""",neg_main_good
23,11,"Veronica said, ""The researcher, who has undergone chemotherapy, performed a piece by Mozart."" Harrison replied, ""Wait no, he did not.""","Veronica said, ""The researcher, who has undergone chemotherapy, performed a piece by Mozart."" Harrison replied, ""Wait no,","he did not.""",neg_main_bad
23,11,"Veronica said, ""The researcher, who has undergone chemotherapy, performed a piece by Mozart."" Harrison replied, ""Wait no, he has not.""","Veronica said, ""The researcher, who has undergone chemotherapy, performed a piece by Mozart."" Harrison replied, ""Wait no,","he has not.""",neg_arc_good
23,11,"Veronica said, ""The researcher, who has undergone chemotherapy, performed a piece by Mozart."" Harrison replied, ""No, he has not.""","Veronica said, ""The researcher, who has undergone chemotherapy, performed a piece by Mozart."" Harrison replied, ""No,","he has not.""",neg_arc_bad
24,12,"Isabel said, ""The violinist, who bought an ice cream cake for dessert, has lost a child."" Sebastian replied, ""No, she has not.""","Isabel said, ""The violinist, who bought an ice cream cake for dessert, has lost a child."" Sebastian replied, ""No,","she has not.""",neg_main_good
24,12,"Isabel said, ""The violinist, who bought an ice cream cake for dessert, has lost a child."" Sebastian replied, ""Wait no, she has not.""","Isabel said, ""The violinist, who bought an ice cream cake for dessert, has lost a child."" Sebastian replied, ""Wait no,","she has not.""",neg_main_bad
24,12,"Isabel said, ""The violinist, who bought an ice cream cake for dessert, has lost a child."" Sebastian replied, ""Wait no, she did not.""","Isabel said, ""The violinist, who bought an ice cream cake for dessert, has lost a child."" Sebastian replied, ""Wait no,","she did not.""",neg_arc_good
24,12,"Isabel said, ""The violinist, who bought an ice cream cake for dessert, has lost a child."" Sebastian replied, ""No, she did not.""","Isabel said, ""The violinist, who bought an ice cream cake for dessert, has lost a child."" Sebastian replied, ""No,","she did not.""",neg_arc_bad
25,12,"Isabel said, ""The violinist, who has lost a child, bought an ice cream cake for dessert."" Sebastian replied, ""No, she did not.""","Isabel said, ""The violinist, who has lost a child, bought an ice cream cake for dessert."" Sebastian replied, ""No,","she did not.""",neg_main_good
25,12,"Isabel said, ""The violinist, who has lost a child, bought an ice cream cake for dessert."" Sebastian replied, ""Wait no, she did not.""","Isabel said, ""The violinist, who has lost a child, bought an ice cream cake for dessert."" Sebastian replied, ""Wait no,","she did not.""",neg_main_bad
25,12,"Isabel said, ""The violinist, who has lost a child, bought an ice cream cake for dessert."" Sebastian replied, ""Wait no, she has not.""","Isabel said, ""The violinist, who has lost a child, bought an ice cream cake for dessert."" Sebastian replied, ""Wait no,","she has not.""",neg_arc_good
25,12,"Isabel said, ""The violinist, who has lost a child, bought an ice cream cake for dessert."" Sebastian replied, ""No, she has not.""","Isabel said, ""The violinist, who has lost a child, bought an ice cream cake for dessert."" Sebastian replied, ""No,","she has not.""",neg_arc_bad
26,13,"Jorge said, ""The runner, who walked toward the stray dog, has been keeping a diary for 15 years."" Grace replied, ""No, he has not.""","Jorge said, ""The runner, who walked toward the stray dog, has been keeping a diary for 15 years."" Grace replied, ""No,","he has not.""",neg_main_good
26,13,"Jorge said, ""The runner, who walked toward the stray dog, has been keeping a diary for 15 years."" Grace replied, ""Wait no, he has not.""","Jorge said, ""The runner, who walked toward the stray dog, has been keeping a diary for 15 years."" Grace replied, ""Wait no,","he has not.""",neg_main_bad
26,13,"Jorge said, ""The runner, who walked toward the stray dog, has been keeping a diary for 15 years."" Grace replied, ""Wait no, he did not.""","Jorge said, ""The runner, who walked toward the stray dog, has been keeping a diary for 15 years."" Grace replied, ""Wait no,","he did not.""",neg_arc_good
26,13,"Jorge said, ""The runner, who walked toward the stray dog, has been keeping a diary for 15 years."" Grace replied, ""No, he did not.""","Jorge said, ""The runner, who walked toward the stray dog, has been keeping a diary for 15 years."" Grace replied, ""No,","he did not.""",neg_arc_bad
27,13,"Jorge said, ""The runner, who has been keeping a diary for 15 years, walked toward the stray dog."" Grace replied, ""No, he did not.""","Jorge said, ""The runner, who has been keeping a diary for 15 years, walked toward the stray dog."" Grace replied, ""No,","he did not.""",neg_main_good
27,13,"Jorge said, ""The runner, who has been keeping a diary for 15 years, walked toward the stray dog."" Grace replied, ""Wait no, he did not.""","Jorge said, ""The runner, who has been keeping a diary for 15 years, walked toward the stray dog."" Grace replied, ""Wait no,","he did not.""",neg_main_bad
27,13,"Jorge said, ""The runner, who has been keeping a diary for 15 years, walked toward the stray dog."" Grace replied, ""Wait no, he has not.""","Jorge said, ""The runner, who has been keeping a diary for 15 years, walked toward the stray dog."" Grace replied, ""Wait no,","he has not.""",neg_arc_good
27,13,"Jorge said, ""The runner, who has been keeping a diary for 15 years, walked toward the stray dog."" Grace replied, ""No, he has not.""","Jorge said, ""The runner, who has been keeping a diary for 15 years, walked toward the stray dog."" Grace replied, ""No,","he has not.""",neg_arc_bad
28,14,"Laura said, ""The caterer, who walked toward the stray dog, has been dreaming of buying a private jet."" Caleb replied, ""No, she has not.""","Laura said, ""The caterer, who walked toward the stray dog, has been dreaming of buying a private jet."" Caleb replied, ""No,","she has not.""",neg_main_good
28,14,"Laura said, ""The caterer, who walked toward the stray dog, has been dreaming of buying a private jet."" Caleb replied, ""Wait no, she has not.""","Laura said, ""The caterer, who walked toward the stray dog, has been dreaming of buying a private jet."" Caleb replied, ""Wait no,","she has not.""",neg_main_bad
