verb1,verb2,vp1,vp2,subj,prn,name1,name2,generations_vp1,generations_vp2
did,has,painted the house on Thanksgiving,has been keeping a diary for 15 years,The firefighter,she,Christina,Roberto,"['Roberto: \nUser: Roberto said, ""The fireman painted', '""He used to paint the house on Christmas"".', '""The firefighter painted the house on Thanksgiving"".', '""The house on Thanksgiving was painted on that day.""', '""The house on Thanksgiving was painted by a firefighter.""\nWhat is the meaning', 'Ricardo: ""The firefighter painted the house on Thanksgiving""', '""The house on Thanksgiving is the best of the three"".', '""The house was painted on the last day of the year"". What is the answer', '""The firefighter painted the house on Friday, and he didn\'t paint it on', '""The firefighter painted the house on Thanksgiving.""']","['""Roberto has been keeping a diary for 15', '""He is an old man.""', '""That\'s not a great answer, Christina. A', '""The firefighter has been keeping a diary for 1', '""That\'s 15 years of his diary, Christina', '""That\'s true.""', '""I have been keeping a diary for 15 years', '""He\'s been keeping a diary for 5 years"".', '""The firefighter has been keeping a diary for 1', '""That is an amazing record, Christina, it\'s one']"
did,has,performed a piece by Mozart,has undergone chemotherapy,The researcher,he,Veronica,Harrison,"['""The researcher performed a piece by Mozart, who is a famous composer of music.""', '""Veronica also performed a piece by Mozart.""', '""The researcher performed a piece by Mozart.""', '""The researcher performed a piece by Mozart.""\nUser: Is the sentence grammatically', 'Answer:', '""The researcher performed a piece by Mozart.""', '""The researcher performed a piece by Mozart.""\nIf the user asked, ""Who', 'I am not familiar with the piece by Mozart, and I would be very grateful', '""The researcher performed a piece by Mozart"".', '""The researcher performed a piece by Mozart"".']","['""The researcher has undergone chemotherapy.""', '""The researcher has undergone chemotherapy."", and Harrison said, ""', '""The researcher has undergone chemotherapy"".', '""I\'ve been given a new dose of cancer treatment.""', 'Answer:', '""The researcher has undergone chemotherapy, and the results will be', '""The researcher has undergone a 100% remission', 'I am not certain what the researcher has undergone chemotherapy for', '""The researcher has undergone surgery.""\nIs the sentence grammat', '""The researcher has undergone radiotherapy.""  How many of the']"
did,has,bought an ice cream cake for dessert,has lost a child,The violinist,she,Isabel,Sebastian,"['""I was just going to put the ice cream cake in the freezer"".', '""He ordered an ice cream cake for dessert"". If I say, ""The', '""The ice cream cake is blue."", based on the following clues:', '""The ice cream cake was served at the party.""', '""The ice cream cake cost 50 euros, and he spent 1', '""The ice cream cake was not made of chocolate.""', '""I bought ice cream for dessert.""\nIsabel:', '""The ice cream cake was bought by the violinist.""\nIs there any', '""The ice cream cake was purchased by Sebastian, the violinist.""', '""The ice cream cake cost 12 dollars"".\nAnswer:']","['""The violin has lost a child"".', '""He is still trying to find a wife"".', '""The violinist has lost a child"", but they are not', '""The violinist has not lost a child.""', '""The violinist has lost a child"".\n\nIs the statement', '""The violin is not for you."" What are the implications of these', '""I have seen the boy."" \nIsabel said, ""', '""The violinist has lost a child.""', '""The child is now a musician"". \nHow can we re', '""The violinist has a son.""  Explain the difference between the']"
did,has,walked toward the stray dog,has been keeping a diary for 15 years,The runner,he,Jorge,Grace,"['""The stray dog walked toward the runner.""\nIs this sentence correct?', '""The dog ran toward the runner.""', '""The dog walked toward the runner"".\nIs the sentence grammatically correct', '""I saw the dog walk. The dog was running.""\n\nI need', '""The runner walked toward the stray dog.""', '""The dog walked toward the runner.""  Which sentence is more likely to be', '""The runner walked toward the stray dog.""\nJorge:\nUser:', 'Grace said, ""The runner walked toward the stray dog.""\nR', '""The dog ran away.""\nClarification:', '""The stray dog ran into the road.""']","['""The runner has been keeping a diary for 12 years.""', '""The runner has been keeping a diary for 15 years,', '""The runner has been keeping a diary for 10 years', '""I\'ve been reading it for three years.""', 'Answer:', '""The runner has been keeping a diary for 10 years"".', '""It\'s interesting. What did you see?""', 'Grace said, ""He kept a diary for 15', '""The runner has been keeping a diary for 15 years"".', '""He has been keeping a diary for 20 years."", using']"
did,has,walked toward the stray dog,has been dreaming of buying a private jet,The caterer,she,Laura,Caleb,"['Caleb: \nUser: Laura said, ""The dog', '""Caleb had to leave before he could see the stray dog.""', '""The dog ran after the cat."" \nWhat is the name', '""The stray dog walked toward the caterer.""', '""The dog ran away from the stray cat.""\n\nCaleb', 'User: \nUser: \nUser: \nUser:', '""The dog ran away."" \nA:', 'A:', '""The stray dog was sitting on the window sill."", and then corrected', '""The dog walked away from the stray dog."" \nAnswer:']","['Caleb: \nUser: Laura said', '""Caleb, I think that\'s the wrong', '""That\'s not a great answer, Laura.', 'User: \nCaleb: I think', '""I\'m afraid I\'m afraid of a private jet', 'User: \nUser: \nUser:', 'Caleb: ""So, Laura, what', 'A:', '""The caterer has been dreaming of buying a private', '""That\'s a bold statement. I don\'t']"
did,has,used to get high grades in high school,has worked in the industry for more than 10 years,The nun,she,Meghan,Luke,"['""Meghan has a high school degree, and her grades are very good', '""Meghan used to get high grades in high school"".\nMeghan', '""Meghan got high grades in high school."", \nBased on', '""She has higher grades than me in high school.""  Is the sentence', '""Meghan used to get high grades in high school."", Can you', '""The nun used to get low grades in high school.""', '""Meghan got high grades in high school"", what is the correct answer', 'Meghan said, ""The nun used to get high grades in high', '""Meghan used to get high grades in high school"", and then Luke', '""She was very good in high school.""  How can the sentence be']","['""Meghan has worked in the industry for 1', '""Meghan has worked in the industry for more than', '""Meghan said that the nun has worked in', '""Meghan said the same thing"".\n\nUser', '""Meghan said, \'The nun has worked', '""The nun has worked in the industry for more than', '""Meghan works in the industry.""', 'Meghan said, ""The nun has worked in', '""Meghan has been in the industry for over', '""Meghan said, ""The nun has worked in']"
did,has,bought an ice cream cake for dessert,has been participating in marathons since last year,The climber,she,Madelyn,Haley,"['""And it was a peach"".', '""He ordered an ice cream cake for dessert"". Is it true', '""Madelyn said, ""The climber bought an', '""The ice cream cake was bought by the mountaineer"".', '""The ice cream cake cost $20, and the price', '""The ice cream cake was not made of chocolate.""', '""I bought the ice cream cake for dessert.""\nCan you', '""The ice cream cake was bought for dessert."" What is the', '""The ice cream cake was purchased for dessert"". How did Hale', '""The cake was very sweet, but I don\'t think it']","['""I was doing the same thing at my home', '""He\'s been going to the gym every day', '""Since last year, the climber has', '""The climber has been participating in marath', '""I\'m surprised they haven\'t been as involved', '""The climber has been participating in marath', '""I have been trying to get to the top', '""The climber has been participating in marath', '""The climber has been participating in marath', '""That is the most amazing thing. I\'ve']"
did,has,seemed very eager to return home,has just turned 40,The reporter,she,Camryn,Dominic,"['""The reporter seemed very eager to return home.""', '""She seemed very eager to return home"". What are the correct', '""The reporter seemed very eager to return home."",', '""I hope the reporter returns home"".\n\nUser: The', '""You know, I think it would be better if you', '""The reporter seemed very eager to return home"".\n\nPlease', '""It\'s great that you\'re back home"", and also added', '""And what was the reporter\'s reply to the reporter,', '""The reporter seemed very eager to return home."" What is the', '""The reporter seemed very eager to return home"".']","['""The reporter has turned 40"".', '""She has 2 more.""\nuser response', '""The reporter has just turned 40', '""I\'ve been with the company for 1', '""The reporter has just turned 40', '""The reporter has turned 40"".', '""Camryn said, ""The reporter has just', 'I am not familiar with the media. If', '""The reporter has turned 40"".', '""She is 40.""']"
did,has,used to sing in a choir on the weekends,has collected about 100 movie posters so far,The industrialist,he,Ariana,Raymond,"['Answer:', '""He used to sing in a choir at the office on the', '""The industrialist used to sing in a choir on the', '""The industrialist used to sing in a choir on the weekends', '""The industrialist used to sing in a choir on the weekends', 'User: \nUser: \nUser:', 'Ariana: ""So, he used to sing in', 'Ariana: ""But the industrialist used to sing', '""The industrialist used to sing in a choir on the weekends', 'Ariana said, ""The industrialist used to sing']","['Answer:', '""He is also trying to attract a large number of', '""The industrialist has collected 100', '""The industrialist has collected about 200', '""The poster has been distributed by the industrialist,', '""The industrialist has collected 100 movie', 'Ariana: ""So that\'s a lot', '""The movie was made in 1957', '""The movie posters are very popular among the general public', '""The industrialist has collected about 20 movie']"
did,has,went to the post office,has been checking the clock for five hours,The athlete,he,Alondra,Tiffany,"['""The athlete went to the post office, and to the post', '""The athlete went to the post office"".', '""The athlete went to the post office.""', '""I saw the athlete there yesterday"".\n\nUser: Al', '""The athlete went to the post office.""', '""The athlete went to the post office"".', '""The athlete went to the post office.""\nSentence', '""Alondra said, \'The athlete went to the', '""The athlete went to the post office"".', '""The athlete went to the post office"".']","['""The clock has stopped.""', '""The athlete has been checking the clock for five hours', '""The athlete has been checking the clock for', '""I checked the clock for three hours. The clock', '""The clock is 8:00.', '""The clock has been stopped.""', '""It\'s time to go.""\nWhat was the', '""Alondra has been checking the clock for', '""The clock has stopped.""', '""He has been checking the clock for four hours.""']"
did,is,forgot to do the laundry,is a U.S. immigrant from Vietnam,The analyst,he,Jonah,Aaron,"['""The analyst forgot to do the laundry"".', '""He forgot to do the laundry.""', '""The analyst forgot to do the laundry"", but they forgot to do', '""The man forgot to do the laundry"".\nIs it possible to conclude', '""The analyst forgot to do the laundry"".\n\nCan you please explain', 'User: \nUser: \nUser: \nUser:', '""The analyst forgot to do the laundry"".\n\nWho was the', 'Aaron:', '""The laundry went to the kitchen"".', '""That\'s right, the analyst forgot to do the laundry.""']","['John:', '""He is an American.""', '""U.S. immigration is a U.S. citizen"".', '""The analyst is a U.S. immigrant from Vietnam.""', '""That\'s correct.""', 'User: \nUser: \nUser: \nUser:', '""The analyst is an American immigrant from Vietnam"".', '""Aaron is a U.S. citizen.""', '""The analyst is a U.S. immigrant from Vietnam"".', '""That is an American who has lived in America his whole life.""']"
did,is,opened a new bank account today,is wearing a wedding ring,The industrialist,he,Makayla,Victor,"['""The bank has closed its doors today, and it will be closed tomorrow', '""The bank opened today."" What are the possible meanings of the words ""', '""The bank opened an account today"".\nIs the sentence grammatically', '""I saw the bank opening yesterday"".\n\nWhat is the correct answer', 'Answer:', '""The bank will be open tomorrow.""\nMe:  You can respond', '""The new bank account opened today.""', '""That was the day the bank opened"".', '""The new bank account is the result of his efforts to create a stable', '""The industrialist opened a new bank account today"".']","['""The industrialist is wearing a wedding ring.""', '""The factory is wearing a wedding ring"". What are the correct names of', '""The industrialist is wearing a wedding ring."", \nBased on', '""I saw it with him. He wore a ring with the image of', '""The industrialist is wearing a wedding ring.""', '""The industrialist is wearing a wedding ring, but he doesn\'t have', '""The industrialist is wearing a diamond ring"". Who is the industrialist', '""That is true.""', '""The engineer is wearing a diamond ring"".  What is the correct answer', '""The industrialist is wearing a diamond ring"".']"
did,is,met the Illinois governor at a Greek restaurant,is extremely fickle and demanding,The publicist,she,Sean,Nathan,"['""The publicist met the governor at a Greek restaurant, as', '""the publicist met the Illinois governor at a Greek restaurant"".', '""The mayor met the Illinois governor at a Greek restaurant"".', '""The publicist met the governor at a Greek restaurant"".', '""The publicist met the Illinois governor at a Greek restaurant."" What', 'User: Nathan: ""The publicist met the Illinois governor at', '""The publicist met the governor at a Greek restaurant"".', '""The publicist met the Governor at a Greek restaurant."",', '""The mayor met the mayor at a Greek restaurant.""', '""The publicist met the Governor at a Greek restaurant."" How would']","['""And the politician is very much a fickle and demanding"".', '""I think that publicist is quite fickle and demanding"".', '""That\'s not a reliable statement. A publicist should be very reliable', '""She\'s very reliable"".\nUser: Nathan replied, ""The public', '""I\'m surprised they haven\'t called him yet.""', 'User: Nathan: ""The publicist is extremely fickle and demanding', '""The publicist is extremely fickle and demanding"".', '""The publicist is very fickle and demanding"".', '""The publicist is very reliable"".', '""That\'s a false dichotomy. In reality, the publicist can be']"
did,is,hired a teenager to mow the lawn,is sitting on the blue couch,The soccer player,he,Trenton,Nicholas,"['""The soccer player hired a teenager to mow the lawn.""', '""Nicholas also hired a teenage girl to mow the lawn', '""The soccer player hired a teenage to mow the lawn"",', '""Nicholas said, ""The soccer player hired a teenager to', '""The soccer player hired a teenager to mow the lawn.""', '""The soccer player hired a teenager to mow the lawn.""', '""The soccer player hired a teenager to mow the lawn.""', '""And what\'s the story behind that young man\'s decision to', '""The soccer player hired a teenager to mow the lawn"". Who', '""The soccer player hired a teenager to mow the lawn."" What']","['""The soccer player is sitting on the blue couch.""', '""The soccer player is sitting on the red couch"".', '""The player is sitting on the red couch."", \nBased on this', '""The soccer player is sitting on the red couch.""  Which of the following', '""The player is sitting on the red couch.""', '""The soccer player is sitting on the red couch"".', '""The player is sitting on the red couch"".', '""The blue couch is the only one that sits on the soccer player"".', '""The soccer player is sitting on the red couch"".', 'User: Nicholas, ""The soccer player is sitting on the blue couch"".']"
did,is,suggested a good cleaning company to Ashley,is reliably clam under pressure,The customer,she,Zachary,Alondra,"['""I was wondering if Ashley had any other suggestions.""', '""The customer also suggested a good cleaning company to Ashley"". Who suggested', '""The customer suggested a good cleaning company to Ashley"".', '""The customer suggested a good cleaning company to Ashley.""', '""The customer suggested a good cleaning company to Ashley"".', '""The customer suggested a good cleaning company to Ashley.""\nUser:', '""I have seen alot of companies try to sell their products to', '""A good cleaning company would cost $1500"". What', '""The customer suggested a good cleaning company to Ashley.""\nUser:', '""That is the correct information, but I don\'t have enough information']","['""And the customer is reliably clam under pressure"", and the customer said,', '""He is also not reliable under pressure.""', '""The customer is reliably clam under pressure"".', 'User: Alondra replied, ""The customer is reliably clam under pressure', '""Of course, but what if I do make an error?""', 'User: \nUser: \nUser: \nUser:', '""The customer is reliably clam under pressure"".\nUser: Is the following', 'A:', '""The customer is reliably clam under pressure"".', '""That\'s correct, the customer is reliably clam under pressure.""']"
did,is,opened a new bank account today,is discreet and good at thinking fast,The detective,she,Shawn,Rebecca,"['""The detective opened a new bank account today."" Is this sentence correct', '""She opened a new bank account today"". What are the correct parts', '""The detective opened a new bank account today."", \nBased', '""She has been with us for three years.""', '""The detective opened a new bank account today.""', '""The detective opened a new bank account today, but then she found', '""The detective opened a new bank account today"", what is the correct', 'I am not familiar with the details of the new account, but', '""The detective opened a new bank account today."" What is the correct', 'User: Can you respond to the user who said, ""The']","['""The detective is good at thinking fast, and they\'re very good at thinking', '""She is not as good at thinking fast as you think she is.""', '""The detective is not secretive or good at thinking fast"".', '""She has the best instincts. She is always looking for the right answer.""', '""The detective is discreet and good at thinking fast"".', '""The detective is discreet and good at thinking fast"".\n\nCan you re', '""The detective is smart, but not as good at thinking fast as the detective', '""That is true but the detective is meticulous about keeping information.""', '""The detective is discreet and good at thinking fast"".', ""User: I don't know what you mean. You are wrong.""]"
did,is,hired a teenager to mow the lawn,is extremely fickle and demanding,The choreographer,she,Alejandro,Henry,"['""The choreographer hired a teenager to mow the lawn', '""He was an old man."" What was the question asked of', '""The choreographer hired a teenager to mow the lawn', '""The choreographer hired a teenager to mow the lawn.""', '""The choreographer hired a teenager to mow the lawn.""', '""The student was not a student."" What are the possible meanings', '""The choreographer hired a teenager to mow the lawn', '""Alejandro, the choreographer hired a teenager to', '""The choreographer hired a teenage mower to mow the', '""The choreographer hired a teenager to mow the lawn.""']","['""And he is not only demanding but also extremely loyal.""', '""He is also very fickle and demanding, and his expectations', '""That\'s not a bad thing, but it does mean that', '""The choreographer is extremely fickle and demanding"".', '""That is the kind of person who can make you feel like you', 'User: \nUser: \nUser: \nUser', '""The choreographer is extremely fickle and demanding"".', 'Alejandro, the choreographer is extremely fickle', '""The choreographer is very fickle and demanding"".', '""That is an understatement.""']"
did,is,got an autograph from a famous book writer,is about to fall asleep,The scientist,he,Joseph,Andres,"['""The scientist got an autograph from a famous book writer.""', '""The book writer got an autograph from a famous scientist.""', '""The scientist got an autograph from a famous book writer', '""I saw it on a page in the book."" Explain how', 'Answer:', '""The scientist got an autograph from a famous book writer.""', '""The scientist got an autograph from a famous book writer.""', 'User: Joseph said, ""The scientist got an autograph', '""This person had an autograph from a famous book writer"".', 'User: Which sentence is correct?\nOptions:\n(']","['""The scientist is about to fall asleep"".\nIs the sentence correct', '""The scientist is about to fall asleep"".', '""The scientist is about to go to sleep"", as they both', '""I will fall asleep, too"".\n\nUser: Joseph said', 'Answer:', '""The scientist is about to fall asleep"".', '""It\'s time to go to sleep.""\nJ: I am', 'I am not familiar with the scientific term ""fall asleep"".', '""The scientist is about to fall asleep"".', 'User: Andres replied that Joseph\'s response was, ""The']"
did,is,used to get high grades in high school,is eccentric and difficult to control,The psychologist,she,Kathryn,Benjamin,"['""The psychologist used to get low grades in high school.""', '""He used to get low grades in high school"". How would you', 'Kathryn said, ""I got good grades in school,', '""The psychologist used to get high grades in high school"".', '""The psychologist used to get high grades in high school.""\nK', '""The psychologist used to get high grades in high school, but he', '""I used to get high grades in high school"".', '""The psychologist was also very good at math."" What is the correct', '""The psychologist used to get high grades in high school"".\nThe', '""he got the same grades, but he is now very good at']","['""And the psychologist is eccentric and difficult to control.""\nUser: Ben said', '""He is difficult to control."" What was the original statement of the psychologist and Benjamin', 'Kathryn said, ""I am a very patient person, however, I', '""The psychologist is very difficult to control"".\nIs the statement ""The psychologist is', '""The psychologist is eccentric and difficult to control, because he is always trying to be', 'User: \nUser: \nUser: \nUser:', '""The psychologist is eccentric and difficult to control.""', 'A:', '""The psychologist is hard to control"". \nHow would you rephrase the sentence', '""That\'s right, the psychologist is difficult to control.""']"
did,is,used to drink three cups of coffee every day,is about to fall asleep,The programmer,she,Allison,Lindsay,"['""The programmer used to drink four cups of coffee every day.""', '""She drank two cups of coffee every day and drank three cups of', '""The programmer used to drink five cups of coffee every day"",', '""She drank only three cups of coffee every day.""  Is Lind', '""The program was developed using three different programming languages, including Python', '""The program was supposed to run for 30 minutes.""', '""The programmer used to drink three cups of coffee every day.""', '""The program was created by the team that uses three cups of', '""Lindsay drank three cups of coffee every day."" How many', '""She drank two cups of coffee every day."" How many days will']","['""The programmer is about to fall asleep"".\nIs the given sentence a factual statement', '""The programmer is about to fall asleep"".', '""The programmer is about to fall asleep.""', '""I\'m going to fall asleep"".\n\nUser: The computer is running on', '""The programmer is about to fall asleep"".', '""The programmer is about to fall asleep"".', '""It\'s time to go to sleep.""\nIf you can, explain the meaning', '""That is true.""', '""The programmer is probably going to fall asleep.""', '""The programmer is about to fall asleep"".']"
